"","TrainNo","AvgDelay"
"687","12448",64
"688","12449",70
"689","12450",45
"690","12463",22
"691","12463-Slip",NA
"692","12464",23
"693","12501",0
"694","12502",0
"695","12565",84
"696","12566",84
"697","12629",0
"698","12630",0
"699","12649",0
"700","12650",0
"701","12651",87
"702","12652",0
"703","12707",87
"704","12708",39
"705","12753",62
"706","12754",0
"707","12819",155
"708","12820",179
"709","12823",204
"710","12824",162
"711","12825",106
"712","12826",107
"713","12907",38
"714","12908",37
"715","12917",55
"716","12918",119
"717","14037",0
"718","14038",0
"719","15035",89
"720","15035-Slip",NA
"721","15036",39
"722","20945",38
"723","20946",23
"724","22464",29
"725","22685",0
"726","22686",0
"727","25036",11
"728","22119",26
"729","22120",26
"730","22425",0
"731","22426",0
"732","22671",8
"733","22672",15
"734","82501",26
"735","82502",40
"736","82901",18
"737","82902",15
"738","02517",164
"739","02518",171
"740","02809",98
"741","02810",64
"742","03241",0
"743","03242",0
"744","04043",269
"745","04044",188
"746","07481",143
"747","07482",147
"748","12171",24
"749","12172",51
"750","12247",27
"751","12248",15
"752","12401",52
"753","12402",99
"754","12429",66
"755","12430",43
"756","12519",0
"757","12520",0
"758","12551",0
"759","12552",0
"760","12773",48
"761","12774",72
"762","12775",28
"763","12776",39
"764","12783",34
"765","12784",61
"766","22115",69
"767","22116",83
"768","22117",22
"769","22118",57
"770","22121",24
"771","22122",53
"772","22123",59
"773","22124",210
"774","22125",149
"775","22126",103
"776","22207",11
"777","22208",25
"778","22401",37
"779","22402",51
"780","22411",0
"781","22412",0
"782","22461",23
"783","22462",22
"784","22475",0
"785","22476",0
"786","22631",0
"787","22632",0
"788","22677",20
"789","22678",34
"790","22807",93
"791","22808",64
"792","22837",0
"793","22838",0
"794","22863",270
"795","22864",99
"796","22903",36
"797","22904",48
"798","12597",180
"799","12598",82
"800","15101",0
"801","15102",0
"802","15267",0
"803","15268",0
"804","15547",0
"805","15548",124
"806","15551",0
"807","15552",69
"808","15559",0
"809","15560",0
"810","16355",0
"811","16356",23
"812","20691",14
"813","20692",40
"814","22551",234
"815","22552",253
"816","22563",0
"817","22564",11
"818","22841",0
"819","22842",56
"820","22877",0
"821","22878",0
"822","22921",44
"823","22922",76
"824","04651",344
"825","04652",265
"826","12235",108
"827","12236",128
"828","12275",17
"829","12276",32
"830","12349",94
"831","12350",0
"832","12503",0
"833","12504",0
"834","12571",61
"835","12572",45
"836","12595",57
"837","12596",83
"838","12751",130
"839","12752",235
"840","15705",108
"841","15706",108
"842","16319",18
"843","16320",36
"844","19091",224
"845","19092",0
"846","19667",0
"847","19668",0
"848","19669",49
"849","19670",63
"850","20481",0
"851","20482",0
"852","20821",285
"853","20822",0
"854","20827",270
"855","20828",0
"856","20889",72
"857","20890",74
"858","20915",21
"859","20916",56
"860","20917",223
"861","20918",247
"862","20923",49
"863","20924",25
"864","20943",51
"865","20944",35
"866","20973",0
"867","20974",0
"868","22139",52
"869","22140",35
"870","22141",69
"871","22142",111
"872","22169",349
"873","22170",0
"874","22171",37
"875","22172",120
"876","22317",81
"877","22318",92
"878","22353",0
"879","22354",0
"880","22437",23
"881","22438",15
"882","22459",180
"883","22460",193
"884","22497",0
"885","22498",0
"886","22705",0
"887","22706",0
"888","22833",73
"889","22834",48
"890","22867",255
"891","22868",360
"892","22913",0
"893","22914",0
"894","22919",18
"895","22920",69
"896","22923",55
"897","22924",29
"898","22985",23
"899","22986",7
"900","22665",18
"901","22666",13
"902","22701",21
"903","22702",37
"904","01135",0
"905","01136",0
"906","01272",0
"907","03213",26
"908","03214",53
"909","03571",13
"910","03572",16
"911","04296",40
"912","04297",41
"913","05913",58
"914","05914",30
"915","06145",0
"916","07331",20
"917","07332",38
"918","07507",36
"919","07508",55
"920","07513",25
"921","07514",81
"922","09465",0
"923","09466",214
"924","11807",29
"925","11808",32
"926","19435",55
"927","19436",0
"928","22199",193
"929","22200",278
"930","12021",40
"931","12022",56
"932","12023",29
"933","12024",20
"934","12051",26
"935","12052",22
"936","12053",37
"937","12054",20
"938","12055",29
"939","12056",27
"940","12057",16
"941","12058",17
"942","12059",16
"943","12060",38
"944","12061",41
"945","12062",26
"946","12063",0
"947","12064",0
"948","12065",13
"949","12066",21
"950","12067",24
"951","12068",27
"952","12069",120
"953","12070",128
"954","12071",13
"955","12072",14
"956","12073",58
"957","12074",24
"958","12075",13
"959","12076",11
"960","12077",17
"961","12078",25
"962","12079",19
"963","12080",24
"964","12081",9
"965","12082",44
"966","12083",11
"967","12084",7
"968","12089",18
"969","12090",19
"970","12091",35
"971","12092",27
"972","12097",9
"973","12098",16
